post_date,price,mfdate,mileage,gear_box,condition,fuel,body_style,origin,district,city,car_age,is_imported
2025,268000000,2010,150000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Hoàng Mai,Hà Nội,15,0
2025,920000000,2023,38000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Long Biên,Hà Nội,2,0
2025,830000000,2022,110000.0,Số sàn,Đã sử dụng,Dầu,Van,Trong nước,Quận Long Biên,Hà Nội,3,0
2025,580000000,2019,110000.0,Số sàn,Đã sử dụng,Dầu,Van,Trong nước,Quận Long Biên,Hà Nội,6,0
2025,282000000,2011,110000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Tây Hồ,Hà Nội,14,0
2025,385000000,2017,120000.0,Số sàn,Đã sử dụng,Xăng,Minivan (mpv),Trong nước,Quận Hoàng Mai,Hà Nội,8,0
2025,655000000,2023,10000.0,Số sàn,Đã sử dụng,Dầu,Van,Trong nước,Quận Long Biên,Hà Nội,2,0
2025,169000000,2017,140000.0,Số sàn,Đã sử dụng,Xăng,Sedan,Trong nước,Huyện Chương Mỹ,Hà Nội,8,0
2025,700000000,2024,80000.0,Số sàn,Đã sử dụng,Dầu,Van,Nhập khẩu,Quận Long Biên,Hà Nội,1,1
2025,210000000,2009,14000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Long Biên,Hà Nội,16,0
2025,380000000,2018,20000.0,Số sàn,Đã sử dụng,Dầu,Van,Trong nước,Quận Long Biên,Hà Nội,7,0
2025,650000000,2018,150000.0,Tự động,Đã sử dụng,Dầu,Minivan (mpv),Nhập khẩu,Quận Long Biên,Hà Nội,7,1
2025,605000000,2019,80000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Nam Từ Liêm,Hà Nội,6,0
2025,218000000,2008,15000.0,Tự động,Đã sử dụng,Xăng,Minivan (mpv),Trong nước,Quận Nam Từ Liêm,Hà Nội,17,0
2025,418000000,2018,110000.0,Tự động,Đã sử dụng,Xăng,Hatchback,Trong nước,Quận Nam Từ Liêm,Hà Nội,7,0
2025,285000000,2017,90000.0,Tự động,Đã sử dụng,Xăng,Hatchback,Trong nước,Quận Long Biên,Hà Nội,8,0
2025,225000000,2009,88000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Hà Đông,Hà Nội,16,0
2025,330000000,2019,70000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Bắc Từ Liêm,Hà Nội,6,0
2025,745000000,2021,37000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Thanh Xuân,Hà Nội,4,0
2025,460000000,2019,130000.0,Tự động,Đã sử dụng,Xăng,Hatchback,Trong nước,Huyện Thạch Thất,Hà Nội,6,0
2025,455000000,2022,6.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Hoàng Mai,Hà Nội,3,0
2025,393000000,2019,89000.0,Tự động,Đã sử dụng,Xăng,Minivan (mpv),Nhập khẩu,Huyện Thanh Trì,Hà Nội,6,1
2025,775000000,2022,43000.0,Tự động,Đã sử dụng,Điện,Suv / cross over,Trong nước,Quận Thanh Xuân,Hà Nội,3,0
2025,315000000,2019,10001.0,Tự động,Đã sử dụng,Xăng,Hatchback,Trong nước,Quận Thanh Xuân,Hà Nội,6,0
2025,372000000,2022,69000.0,Số sàn,Đã sử dụng,Xăng,Suv / cross over,Nhập khẩu,Huyện Thanh Trì,Hà Nội,3,1
2025,795000000,2023,40000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Thanh Xuân,Hà Nội,2,0
2025,1400000000,2024,20000.0,Tự động,Đã sử dụng,Dầu,Suv / cross over,Trong nước,Quận Thanh Xuân,Hà Nội,1,0
